Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Steps (average per min),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion)
2018-06-22T10:00:00.000Z,3,82,4920,0.023932983,0,1,6.766666667,0.95,0.05,0,0
2018-06-22T11:00:00.000Z,3,83,4980,0.05115445,0,1,18.53333333,0.85,0,0.15,0
2018-06-22T12:00:00.000Z,3,84,5040,0.080174516,0,1,26.85,0.683333333,0.083333333,0.233333333,0
2018-06-22T13:00:00.000Z,3,85,5100,0.0555025,0,1,18.78333333,0.833333333,0.05,0.116666667,0
2018-06-22T14:00:00.000Z,3,86,5160,0.106616933,0,1,34.45,0.616666667,0.033333333,0.316666667,0.033333333
2018-06-22T15:00:00.000Z,3,87,5220,0.051588167,0,1,19.36666667,0.9,0.033333333,0.066666667,0
2018-06-22T16:00:00.000Z,3,88,5280,0.0781675,0,1,24.1,0.733333333,0.066666667,0.15,0.05
2018-06-22T17:00:00.000Z,3,89,5340,0.017862383,0,1,4.433333333,0.933333333,0.016666667,0.05,0
2018-06-22T18:00:00.000Z,3,90,5400,0.0244247,0,1,7.1,0.916666667,0.05,0.033333333,0
2018-06-22T19:00:00.000Z,3,91,5460,0.020047533,0,1,5.933333333,0.966666667,0.033333333,0,0
2018-06-22T20:00:00.000Z,3,92,5520,0.022264717,0,1,7.133333333,0.966666667,0.033333333,0,0
2018-06-22T21:00:00.000Z,3,93,5580,0.0398092,0,1,13.68333333,0.866666667,0.083333333,0.05,0
2018-06-22T22:00:00.000Z,3,94,5640,0.004868083,0.825396825,1,0.433333333,1,0,0,0
2018-06-22T23:00:00.000Z,3,95,5700,0.003615567,0.919354839,1,0.1,1,0,0,0
2018-07-23T00:00:00.000Z,4,96,5760,0.0051716,0.442622951,1,0.55,1,0,0,0
2018-07-23T01:00:00.000Z,4,97,5820,0.0032335,0.967213115,1,0.116666667,1,0,0,0
2018-07-23T02:00:00.000Z,4,98,5880,0.00433095,0.245901639,1,0.45,1,0,0,0
2018-07-23T07:00:00.000Z,4,99,5940,0.004191483,0.295081967,1,0.283333333,1,0,0,0
2018-07-23T04:00:00.000Z,4,100,6000,0.004900367,0.177419355,1,0.566666667,1,0,0,0
2018-07-23T05:00:00.000Z,4,101,6060,0.0164505,0.196721311,1,4.966666667,0.983333333,0.016666667,0,0
2018-07-23T06:00:00.000Z,4,102,6120,0.07501435,0,1,26.36666667,0.666666667,0.133333333,0.2,0
2018-07-23T07:00:00.000Z,4,103,6180,0.130353217,0,1,45.08333333,0.533333333,0.1,0.333333333,0.033333333
2018-07-23T08:00:00.000Z,4,104,6240,0.03455105,0,1,9.216666667,0.933333333,0.033333333,0.033333333,0
2018-07-23T09:00:00.000Z,4,105,6300,0.08034975,0,1,30.21666667,0.7,0,0.3,0
2018-07-23T10:00:00.000Z,4,106,6360,0.04022805,0,1,12.76666667,0.883333333,0.033333333,0.083333333,0
2018-07-23T11:00:00.000Z,4,107,6420,0.065141567,0,1,20.4,0.816666667,0.066666667,0.116666667,0
2018-07-23T12:00:00.000Z,4,108,6480,0.049587817,0,1,14.63333333,0.833333333,0.066666667,0.1,0
2018-07-23T13:00:00.000Z,4,109,6540,0.0731487,0,1,24.3,0.766666667,0.016666667,0.216666667,0
2018-07-23T14:00:00.000Z,4,110,6600,0.028223483,0,1,7.866666667,0.966666667,0,0.033333333,0
2018-07-23T15:00:00.000Z,4,111,6660,0.035423567,0,1,10.11666667,0.95,0.033333333,0.016666667,0
2018-07-23T16:00:00.000Z,4,112,6720,0.050596717,0,1,14.51666667,0.866666667,0.05,0.083333333,0
2018-07-23T17:00:00.000Z,4,113,6780,0.076325217,0,1,26.13333333,0.766666667,0,0.216666667,0.016666667
2018-07-23T18:00:00.000Z,4,114,6840,0.052779184,0,1,19.76666667,0.9,0.033333333,0.066666667,0
2018-07-23T19:00:00.000Z,4,115,6900,0.09152275,0,1,28.85,0.633333333,0.116666667,0.2,0.05
2018-07-23T20:00:00.000Z,4,116,6960,0.033425383,0,1,8.433333333,0.866666667,0.1,0.033333333,0
2018-07-23T21:00:00.000Z,4,117,7020,0.026585166,0,1,9.316666667,0.883333333,0.05,0.066666667,0
2018-07-23T22:00:00.000Z,4,118,7080,0.018988533,0.383333333,0.5,5.366666667,0.95,0.033333333,0.016666667,0
